Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
3,20,0.0,0.1,50.0,20,25,24,19,1133.817261,0.016758
4,20,0.0,0.1,50.0,20,25,24,19,1083.272827,0.017539
5,20,0.0,0.1,50.0,20,28,27,19,1071.772095,0.017728
6,20,0.0,0.1,50.0,20,47,46,19,1016.483215,0.018692
7,20,0.0,0.1,50.0,20,30,29,19,1082.193726,0.017557
8,20,0.0,0.1,50.0,20,28,27,19,998.284790,0.019033
9,20,0.0,0.1,50.0,20,29,28,19,1083.720581,0.017532
10,20,0.0,0.1,50.0,20,32,31,19,1043.667603,0.018205
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.4,50.0,20,92,88,19,912.234375,0.020828
2,20,0.0,0.4,50.0,20,243,150,15,954.828308,0.015710
3,20,0.0,0.4,50.0,20,61,60,19,1142.835083,0.016625
4,20,0.0,0.4,50.0,20,65,62,18,999.282654,0.018013
5,20,0.0,0.4,50.0,20,71,62,19,1179.597290,0.016107
6,20,0.0,0.4,50.0,20,81,79,17,1081.802246,0.015715
7,20,0.0,0.4,50.0,20,250,97,10,774.408081,0.012913
8,20,0.0,0.4,50.0,20,68,67,19,922.956726,0.020586
9,20,0.0,0.4,50.0,20,305,195,14,1244.417236,0.011250
10,20,0.0,0.4,50.0,20,112,105,18,1158.909668,0.015532
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.8,50.0,20,630,168,4,1016.246216,0.003936
2,20,0.0,0.8,50.0,20,474,138,6,829.096313,0.007237
3,20,0.0,0.8,50.0,20,669,181,8,1178.097656,0.006791
4,20,0.0,0.8,50.0,20,499,133,6,831.500977,0.007216
5,20,0.0,0.8,50.0,20,335,118,4,737.788879,0.005422
6,20,0.0,0.8,50.0,20,544,167,8,1096.622925,0.007295
7,20,0.0,0.8,50.0,20,680,185,7,1172.302246,0.005971
8,20,0.0,0.8,50.0,20,718,205,7,1223.013916,0.005724
9,20,0.0,0.8,50.0,20,365,135,5,968.473816,0.005163
10,20,0.0,0.8,50.0,20,659,170,6,1072.704712,0.005593
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,14800,5225,671,49376.957031,0.013589
2,1000,0.1,0.2,50.0,1000,2856,2588,999,50646.285156,0.019725
3,1000,0.1,0.2,50.0,1000,30984,8674,114,49057.867188,0.002324
4,1000,0.1,0.2,50.0,1000,2630,2370,999,49292.960938,0.020267
5,1000,0.1,0.2,50.0,1000,21197,6583,460,51946.093750,0.008855
6,1000,0.1,0.2,50.0,1000,29644,8306,162,49895.289062,0.003247
7,1000,0.1,0.2,50.0,1000,2842,2547,999,49652.832031,0.020120
8,1000,0.1,0.2,50.0,1000,2868,2580,999,49721.136719,0.020092
9,1000,0.1,0.2,50.0,1000,2940,2651,999,48788.187500,0.020476
